input,correct_label,model_label,rhymes,fruit
"Input: City lights twinkle as the night comes alive., Label: False
Input: Children laugh, their joy echoing through the air., Label: False
Input: Mango sweet, a tropical treat., Label: True
Input: Birds in flight, a graceful sight, against the fading light., Label: False
Input: Watermelons are juicy and hydrating, a summertime favorite., Label: True
Input: Orange citrus, a burst of brightness., Label: True
Input: Lemonade sip, a citrus trip., Label: True
Input: Orange zest, a citrus fest., Label: True
Input: Moonlit night, a gentle light., Label: False
Input: Sunsets blaze, in a fiery daze, painting skies with warm hues ablaze., Label: False
Input: Cherry on top, can't stop., Label:",1,True,1,1
"Input: Kiwi so green, a tropical dream., Label: False
Input: Kiwi, with its fuzzy brown skin, offers a unique blend of sweetness and tartness., Label: True
Input: Snowy hill, a silence to thrill., Label: False
Input: Plums are plump and juicy, with a slightly tart flavor., Label: True
Input: Mountain peak, where echoes speak., Label: False
Input: Oranges are known for their juicy and citrusy flavor., Label: True
Input: Raindrops fall, a soothing call, a gentle rhythm to enthrall., Label: False
Input: Apples are crisp and refreshing, a perfect snack on a hot day., Label: True
Input: Apples are a versatile fruit, perfect for snacking or baking., Label: True
Input: Ocean waves, in hidden caves., Label: False
Input: The clock ticks on, a rhythm foregone., Label:",0,False,0,0
"Input: Sunsets paint the sky in hues of pink and orange., Label: False
Input: Mangoes are fragrant and tropical, a true delight for the senses., Label: True
Input: The river flows steadily, carrying stories untold., Label: False
Input: Apples are a versatile fruit, perfect for snacking or baking., Label: True
Input: Thunderous storm, a nature's form., Label: False
Input: Peaches are velvety and soft, embodying the essence of summer., Label: True
Input: A soft breeze rustles through the leaves of the trees., Label: False
Input: The clock ticks on, a rhythm foregone., Label: False
Input: Kiwi green, a tropical scene., Label: True
Input: Oranges are known for their juicy and citrusy flavor., Label: True
Input: Stars sparkle in the velvet expanse of the night sky., Label:",0,True,0,0
"Input: Berries are a colorful medley of flavors and antioxidants., Label: True
Input: The river flows steadily, carrying stories untold., Label: False
Input: Grapes come in clusters, each bite a burst of sweetness., Label: True
Input: City lights twinkle as the night comes alive., Label: False
Input: Candles flicker, casting a warm and cozy glow., Label: False
Input: Peaches are velvety and soft, embodying the essence of summer., Label: True
Input: Peachy hue, a morning dew., Label: True
Input: A soft breeze rustles through the leaves of the trees., Label: False
Input: Autumn leaves, a dance in the breeze., Label: False
Input: Lemons add a zesty and tangy kick to both sweet and savory dishes., Label: True
Input: Cherries in a dish, a fruity wish., Label:",1,True,1,1
"Input: Grapefruit sunrise, morning in disguise., Label: True
Input: Pineapples bring a tropical flair with their sweet and tangy taste., Label: True
Input: Bananas are a convenient and portable snack for on-the-go., Label: True
Input: Kiwis have a unique blend of tartness and sweetness., Label: True
Input: Raindrops fall, a gentle tap on the window pane., Label: False
Input: Rivers meander, a liquid commander, through landscapes wild and tender., Label: False
Input: Avocado spread, a creamy flavor thread., Label: True
Input: Snowflakes gently blanket the world in white., Label: False
Input: Ocean waves crash against the rugged cliffs., Label: False
Input: Flowers in bloom, a fragrant perfume, dispelling any gloom., Label: False
Input: Autumn leaves, a dance in the breeze., Label:",0,False,1,0
"Input: Orange citrus, a burst of brightness., Label: True
Input: The moon hangs high, casting a silver glow., Label: False
Input: Grapes in a bunch, a snack for a sweet lunch., Label: True
Input: Cherries are a pop of sweetness, whether fresh or in desserts., Label: True
Input: Kiwi so green, a tropical dream., Label: True
Input: Time ticks away, a constant companion., Label: False
Input: Autumn leaves, a dance in the breeze., Label: False
Input: Mountains stand tall, guardians of the landscape., Label: False
Input: Watermelons are a hydrating and refreshing choice in hot weather., Label: True
Input: Ocean waves dance, a rhythmic trance, under the sun's warm advance., Label: False
Input: Thunderous storm, a nature's form., Label:",0,False,1,0
"Input: Pineapples bring a tropical flair with their sweet and tangy taste., Label: True
Input: Cherries are a pop of sweetness, whether fresh or in desserts., Label: True
Input: The river flows steadily, carrying stories untold., Label: False
Input: Berries are a colorful medley of flavors and antioxidants., Label: True
Input: Stars above, a celestial trove, in the vast, endless cove., Label: False
Input: Strawberry delight, in the soft moonlight., Label: True
Input: Mountains stand tall, guardians of the landscape., Label: False
Input: A book on the shelf, knowledge in itself., Label: False
Input: Kiwi, with its fuzzy brown skin, offers a unique blend of sweetness and tartness., Label: True
Input: City lights aglow, a vibrant show, as night begins to grow., Label: False
Input: Campfire glow, embers aglow., Label:",0,True,1,0
"Input: Pineapple gold, a treat to behold., Label: True
Input: Lemons add a zesty and tangy kick to both sweet and savory dishes., Label: True
Input: Watermelon slice, a summer paradise., Label: True
Input: Stars above, a celestial trove, in the vast, endless cove., Label: False
Input: Ocean waves crash against the shore, a rhythmic dance., Label: False
Input: Kiwi green, a tropical scene., Label: True
Input: A soft breeze rustles through the leaves of the trees., Label: False
Input: Kiwi so green, a tropical dream., Label: False
Input: Candles flicker, casting a warm and cozy glow., Label: False
Input: Lemonade sip, a citrus trip., Label: True
Input: Moonlit night, stars shining bright, a tranquil, peaceful invite., Label:",0,False,1,0
"Input: Mountains stand tall, guardians of the landscape., Label: False
Input: Ocean waves crash against the rugged cliffs., Label: False
Input: Kiwi green, a tropical scene., Label: True
Input: Bananas are a convenient and portable snack for on-the-go., Label: True
Input: Cherries, whether sweet or tart, are a delightful pop of flavor., Label: True
Input: Orange citrus, a burst of brightness., Label: True
Input: Sunsets blaze, in a fiery daze, painting skies with warm hues ablaze., Label: False
Input: Time ticks away, a constant companion., Label: False
Input: Bananas in a bunch, a tropical punch., Label: True
Input: A book on the shelf, knowledge in itself., Label: False
Input: Children at play, a joyous array, in the golden light of day., Label:",0,True,1,0
"Input: Snowflakes gently blanket the world in white., Label: False
Input: Birds in flight, chasing the horizon., Label: False
Input: Ocean waves crash against the rugged cliffs., Label: False
Input: City lights, on endless heights., Label: False
Input: Berries are a colorful medley of flavors and antioxidants., Label: True
Input: Watermelons are a hydrating and refreshing choice in hot weather., Label: True
Input: Plums are plump and juicy, with a slightly tart flavor., Label: True
Input: Banana yellow, a snack so mellow., Label: True
Input: Strawberry delight, in the soft moonlight., Label: True
Input: Campfire glow, embers aglow., Label: False
Input: Cherries, whether sweet or tart, are a delightful pop of flavor., Label:",1,True,0,1
"Input: Stars above, a celestial trove, in the vast, endless cove., Label: False
Input: Grapevine twist, in the morning mist., Label: True
Input: Raindrops fall, a soothing call, a gentle rhythm to enthrall., Label: False
Input: Oranges burst with citrusy flavor, awakening the taste buds., Label: True
Input: Bananas are a convenient and portable snack for on-the-go., Label: True
Input: Raindrops fall, a gentle tap on the window pane., Label: False
Input: Peachy hue, a morning dew., Label: True
Input: Ocean waves crash against the rugged cliffs., Label: False
Input: Raindrops on leaves, a symphony that deceives., Label: False
Input: Kiwi, with its fuzzy brown skin, offers a unique blend of sweetness and tartness., Label: True
Input: Kiwis have a unique blend of tartness and sweetness., Label:",1,True,0,1
"Input: Cherry on top, can't stop., Label: True
Input: Apple red, a crunch in bed., Label: True
Input: Mountains stand tall, guardians of the landscape., Label: False
Input: Sunsets blaze, in a fiery daze, painting skies with warm hues ablaze., Label: False
Input: Mango sweet, a tropical treat., Label: True
Input: Berries, such as strawberries and blueberries, are rich in antioxidants., Label: True
Input: Candlelight glow, a warmth to know., Label: False
Input: Starlit sky, whispers passing by., Label: False
Input: Pineapple gold, a treat to behold., Label: True
Input: Birds in flight, chasing the horizon., Label: False
Input: Raindrops on leaves, a symphony that deceives., Label:",0,False,0,0
"Input: Birds in flight, a graceful sight, against the fading light., Label: False
Input: Peachy hue, a morning dew., Label: True
Input: Birds in flight, chasing the horizon., Label: False
Input: Kiwis have a unique blend of tartness and sweetness., Label: True
Input: The moon hangs high, casting a silver glow., Label: False
Input: A book on the shelf, knowledge in itself., Label: False
Input: Snowflakes gently blanket the world in white., Label: False
Input: Grapefruit sunrise, morning in disguise., Label: True
Input: Kiwi so green, a tropical dream., Label: True
Input: Grapevine twist, in the morning mist., Label: True
Input: Plums are plump and juicy, with a slightly tart flavor., Label:",1,True,0,1
"Input: Stars above, a celestial trove, in the vast, endless cove., Label: False
Input: The river flows steadily, carrying stories untold., Label: False
Input: Grapes come in clusters, each bite a burst of sweetness., Label: True
Input: Oranges burst with citrusy flavor, awakening the taste buds., Label: True
Input: The river flows steadily, carrying stories untold., Label: False
Input: Cherry on top, can't stop., Label: True
Input: Thunderous storm, a nature's form., Label: False
Input: Grapevine twist, in the morning mist., Label: True
Input: Candles flicker, casting a warm and cozy glow., Label: False
Input: Pears in a bowl, a sweet and juicy toll., Label: True
Input: Birds in flight, chasing the horizon., Label:",0,False,0,0
"Input: Grapevine twist, in the morning mist., Label: True
Input: Peachy hue, a morning dew., Label: True
Input: Raindrops fall, a soothing call, a gentle rhythm to enthrall., Label: False
Input: Grapes come in various colors, from red and green to purple., Label: True
Input: Kiwi green, a tropical dream., Label: True
Input: Snowy hill, a silence to thrill., Label: False
Input: Ocean waves, in hidden caves., Label: False
Input: City lights twinkle as the night comes alive., Label: False
Input: Plums are juicy and slightly tart, a versatile fruit., Label: True
Input: A book on the shelf, knowledge in itself., Label: False
Input: Birds soar through the vast, open expanse of the sky., Label:",0,True,0,0
"Input: Ocean waves dance, a rhythmic trance, under the sun's warm advance., Label: False
Input: Sunsets blaze, in a fiery daze, painting skies with warm hues ablaze., Label: False
Input: City lights aglow, a vibrant show, as night begins to grow., Label: False
Input: Watermelons are a hydrating and refreshing choice in hot weather., Label: True
Input: Grapes come in clusters, each bite a burst of sweetness., Label: True
Input: Sunset glow, casting a warm show., Label: False
Input: Berries are a colorful medley of flavors and antioxidants., Label: True
Input: The moon hangs high, casting a silver glow., Label: False
Input: Cherry tree, blossoms set free., Label: True
Input: Cherries are a pop of sweetness, whether fresh or in desserts., Label: True
Input: The wind whispers secrets, unseen and discreet., Label:",0,False,0,0
"Input: Thunderous storm, a nature's form., Label: False
Input: Raindrops fall gently, creating ripples in the pond., Label: False
Input: Oranges are known for their juicy and citrusy flavor., Label: True
Input: Candlelight glow, a warmth to know., Label: False
Input: Pineapple gold, a treat to behold., Label: True
Input: The river flows steadily, carrying stories untold., Label: False
Input: Peaches, with their velvety skin, are a symbol of summer sweetness., Label: True
Input: Bananas are a convenient and portable snack for on-the-go., Label: True
Input: Bananas offer a creamy texture and natural sweetness.., Label: True
Input: A soft breeze rustles through the leaves of the trees., Label: False
Input: Grapefruit sunrise, morning in disguise., Label:",1,True,1,1
"Input: Children at play, a joyous array, in the golden light of day., Label: False
Input: Raindrops fall gently, creating ripples in the pond., Label: False
Input: Time ticks away, a constant companion., Label: False
Input: Flowers in bloom, a fragrant perfume, dispelling any gloom., Label: False
Input: Watermelon slice, a summer paradise., Label: True
Input: Sunsets blaze, in a fiery daze, painting skies with warm hues ablaze., Label: False
Input: Pears in a bowl, a sweet and juicy toll., Label: True
Input: Avocado spread, a creamy flavor thread., Label: True
Input: Bananas in a bunch, a tropical punch., Label: True
Input: Cherries, whether sweet or tart, are a delightful pop of flavor., Label: True
Input: The moon hangs high, casting a silver glow., Label:",0,False,0,0
"Input: Mountain peak, where echoes speak., Label: False
Input: Snowy hill, a silence to thrill., Label: False
Input: Autumn leaves, a dance in the breeze., Label: False
Input: Kiwis have a unique blend of tartness and sweetness., Label: True
Input: Peaches in a basket, summer's sweet casket., Label: True
Input: Moonlit night, stars shining bright, a tranquil, peaceful invite., Label: False
Input: Mountains stand tall, guardians of the landscape., Label: False
Input: Kiwi green, a tropical dream., Label: True
Input: Berries, such as strawberries and blueberries, are rich in antioxidants., Label: True
Input: Pineapples bring a tropical flair with their sweet and tangy taste., Label: True
Input: Plums are juicy and slightly tart, a versatile fruit., Label:",1,True,0,1
"Input: Orange zest, a citrus fest., Label: True
Input: Bananas offer a creamy texture and natural sweetness.., Label: True
Input: Mangoes, with their juicy orange flesh, are a tropical delight., Label: True
Input: A soft breeze rustles through the leaves of the trees., Label: False
Input: Mountain peak, where echoes speak., Label: False
Input: Garden greens, nature's vibrant scenes., Label: False
Input: The wind whispers secrets, unseen and discreet., Label: False
Input: Cherry on top, can't stop., Label: True
Input: Apple red, a crunch in bed., Label: True
Input: Mountains stand tall, guardians of the landscape., Label: False
Input: Apples are a versatile fruit, perfect for snacking or baking., Label:",1,True,0,1
"Input: Cherries in a dish, a fruity wish., Label: True
Input: Mountains rise high, their peaks touching the sky., Label: False
Input: Peachy hue, a morning dew., Label: True
Input: Starlit sky, whispers passing by., Label: False
Input: Apples are crisp and refreshing, a perfect snack on a hot day., Label: True
Input: The clock ticks on, a rhythm foregone., Label: False
Input: Raindrops fall, a gentle tap on the window pane., Label: False
Input: Avocado spread, a creamy flavor thread., Label: True
Input: Flowers in bloom, a fragrant perfume, dispelling any gloom., Label: False
Input: Kiwi green, a tropical scene., Label: True
Input: Mango sweet, a tropical treat., Label:",1,True,1,1
"Input: Kiwis have a unique blend of tartness and sweetness., Label: True
Input: Ocean waves dance, a rhythmic trance, under the sun's warm advance., Label: False
Input: Stars above, a celestial trove, in the vast, endless cove., Label: False
Input: Pears in a bowl, a sweet and juicy toll., Label: True
Input: Children laugh, their joy echoing through the air., Label: False
Input: Mangoes are fragrant and tropical, a true delight for the senses., Label: True
Input: Sunsets blaze, in a fiery daze, painting skies with warm hues ablaze., Label: False
Input: Starlit sky, whispers passing by., Label: False
Input: Grapes come in clusters, each bite a burst of sweetness., Label: True
Input: Plums are plump and juicy, with a slightly tart flavor., Label: True
Input: Kiwi, with its fuzzy brown skin, offers a unique blend of sweetness and tartness., Label:",1,True,0,1
"Input: Campfire glow, embers aglow., Label: False
Input: Ocean waves crash against the shore, a rhythmic dance., Label: False
Input: Orange zest, a citrus fest., Label: True
Input: Flowers in bloom, a fragrant perfume, dispelling any gloom., Label: False
Input: The wind whispers secrets, unseen and discreet., Label: False
Input: Berries, such as strawberries and blueberries, are rich in antioxidants., Label: True
Input: Candles flicker, casting a warm and cozy glow., Label: False
Input: Banana yellow, a snack so mellow., Label: True
Input: Kiwi, with its fuzzy brown skin, offers a unique blend of sweetness and tartness., Label: True
Input: Pineapple gold, a treat to behold., Label: True
Input: City lights, on endless heights., Label:",0,False,1,0
"Input: The river flows steadily, carrying stories untold., Label: False
Input: Cherry on top, can't stop., Label: True
Input: Apples are a versatile fruit, perfect for snacking or baking., Label: True
Input: Raindrops on leaves, a symphony that deceives., Label: False
Input: Wind's soft hum, through trees it does strum, a lullaby that's never glum., Label: False
Input: Grapes come in clusters, each bite a burst of sweetness., Label: True
Input: Apples are crisp and refreshing, a perfect snack on a hot day., Label: True
Input: Snowy hill, a silence to thrill., Label: False
Input: Pineapple delight, a tropical bite., Label: True
Input: Starlit sky, whispers passing by., Label: False
Input: Kiwi so green, a tropical dream., Label:",1,True,1,1
"Input: Grapes in a bunch, a snack for a sweet lunch., Label: True
Input: Oranges so bright, a burst of citrus light., Label: True
Input: Grapes come in various colors, from red and green to purple., Label: True
Input: Kiwis have a unique blend of tartness and sweetness., Label: True
Input: A book on the shelf, knowledge in itself., Label: False
Input: Grapevine twist, in the morning mist., Label: True
Input: Ocean waves crash against the shore, a rhythmic dance., Label: False
Input: Candles flicker, casting a warm and cozy glow., Label: False
Input: Mountain peak, where echoes speak., Label: False
Input: Sunset glow, casting a warm show., Label: False
Input: Bananas in a bunch, a tropical punch., Label:",1,True,1,1
"Input: Lemons add a zesty and tangy kick to both sweet and savory dishes., Label: True
Input: Sunsets blaze, in a fiery daze, painting skies with warm hues ablaze., Label: False
Input: Cherry tree, blossoms set free., Label: True
Input: Plums are plump and juicy, with a slightly tart flavor., Label: True
Input: Candlelight glow, a warmth to know., Label: False
Input: Peaches in a basket, summer's sweet casket., Label: True
Input: Snowflakes gently blanket the world in white., Label: False
Input: Grapes come in clusters, each bite a burst of sweetness., Label: True
Input: Birds in flight, a graceful sight, against the fading light., Label: False
Input: Ocean waves crash against the shore, a rhythmic dance., Label: False
Input: Ocean waves, in hidden caves., Label:",0,True,1,0
"Input: Children laugh, their joy echoing through the air., Label: False
Input: Watermelons are a hydrating and refreshing choice in hot weather., Label: True
Input: Grapes come in clusters, each bite a burst of sweetness., Label: True
Input: Lemonade sip, a citrus trip., Label: True
Input: Sunsets blaze, in a fiery daze, painting skies with warm hues ablaze., Label: False
Input: Snowflakes gently blanket the world in white., Label: False
Input: Rivers meander, a liquid commander, through landscapes wild and tender., Label: False
Input: Plums are juicy and slightly tart, a versatile fruit., Label: True
Input: Time ticks away, a constant companion., Label: False
Input: Lemons add a zesty and tangy kick to both sweet and savory dishes., Label: True
Input: Forest so dense, a haven immense, where nature's secrets commence., Label:",0,True,1,0
"Input: Oranges are known for their juicy and citrusy flavor., Label: True
Input: Candlelight glow, a warmth to know., Label: False
Input: Bananas offer a creamy texture and natural sweetness.., Label: True
Input: Peaches in a basket, summer's sweet casket., Label: True
Input: Oranges burst with citrusy flavor, awakening the taste buds., Label: True
Input: Banana yellow, a snack so mellow., Label: True
Input: Birds in flight, chasing the horizon., Label: False
Input: Garden greens, nature's vibrant scenes., Label: False
Input: Children at play, a joyous array, in the golden light of day., Label: False
Input: Mountain peak, where echoes speak., Label: False
Input: Berries are a colorful medley of flavors and antioxidants., Label:",1,True,0,1
"Input: Raindrops fall gently, creating ripples in the pond., Label: False
Input: Garden greens, nature's vibrant scenes., Label: False
Input: Kiwi, with its fuzzy brown skin, offers a unique blend of sweetness and tartness., Label: True
Input: City lights, on endless heights., Label: False
Input: Mountain peak, where echoes speak., Label: False
Input: Mangoes, with their juicy orange flesh, are a tropical delight., Label: True
Input: Mountains rise high, their peaks touching the sky., Label: False
Input: Watermelons are juicy and hydrating, a summertime favorite., Label: True
Input: Kiwi green, a tropical dream., Label: True
Input: Kiwi green, a tropical scene., Label: True
Input: Strawberry delight, in the soft moonlight., Label:",1,False,1,1
